Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
HG1_PATCH	437141	439945	PSME1
HG1_PATCH	444340	448548	PSME2
Y	1386152	1392113	SLC25A6
HG1_PATCH	517835	533345	NEDD8
Y	2691187	2741309	CD99
HG2021_PATCH	94334	106255	FBL
HG2030_PATCH	174312	177520	RPL7A
HG2198_PATCH	275246	290451	UBL7
13	27424619	27435823	GTF3A
HG2217_PATCH	37312	40291	RPS25
21	33903453	33915814	ATP5PO
HG2275_PATCH	572093	574414	COX5B
HG2334_PATCH	78462	183684	PTEN
22	36860988	36878017	NCF4
HG2407_PATCH	382932	393259	EVI2B
22	39312882	39320389	RPL3
HG2419_PATCH	154203	159165	VPS28
20	24949269	24959928	CST7
13	48232612	48270357	ITM2B
HG2554_PATCH	19051	23212	PFDN5
HG2569_PATCH	108735	122754	GMFG
HG2580_PATCH	42847	61242	CD300A
13	46125920	46211871	LCP1
HG26_PATCH	28718	46591	EIF3K
22	43151547	43163242	TSPO
X	1386152	1392113	SLC25A6
HG28_PATCH	43473	82770	LSP1
HG28_PATCH	139800	177044	MRPL23
HG401_PATCH	4377	9347	MSRB1
HG401_PATCH	25686	28123	NDUFB10
HG401_PATCH	28206	30989	RPS2
13	30713478	30764426	ALOX5AP
20	62136733	62143440	PSMA7
13	110641412	110713603	CARS2
HG926_PATCH	1449399	1505023	METTL9
HG926_PATCH	1452220	1465278	IGSF6
HG708_PATCH	659	10475	ZYX
20	23626706	23638473	CST3
HG76_PATCH	1478526	1505569	CTSB
HG76_PATCH	372762	375192	DEFA1
HG76_PATCH	410989	413421	DEFA3
20	62387103	62388520	RPS21
8	23528956	23575463	SLC25A37
22	39529093	39532761	RPS19BP1
21	25716503	25735673	ATP5PF
8	26383054	26505636	BNIP3L
13	27251362	27256691	RPL21
13	75525214	75549439	COMMD6
13	27620742	27744237	POLR1D
22	17734138	17774770	BID
20	59025475	59032345	ATP5F1E
14	51989514	52010694	RTRAF
8	30063003	30083208	SARAF
HSCHR14_7_CTG1	1242341	1244815	IFI27L2
HSCHR14_7_CTG1	1493319	1507265	SERPINA1
10	80150889	80205572	ANXA11
9	93121496	93134251	NINJ1
18	3247481	3256236	MYL12A
HSCHR15_3_CTG8	34826	42225	B2M
18	3261479	3278461	MYL12B
HSCHR15_5_CTG8	325859	329670	RPS17
16	18781295	18790383	RPS15A
HSCHR15_9_CTG8	77900	81921	NOP10
12	8788253	8795789	LINC02972
20	63520765	63522206	PPDPF
19	1026586	1039068	CNN2
12	8533305	8540905	CLEC4E
7	20002765	20003247	RPL21P75
19	3172346	3180332	S1PR4
21	33403413	33479348	IFNGR2
9	73151865	73170393	ANXA1
21	44885953	44931989	ITGB2
12	10699089	10723323	YBX3
HSCHR17_1_CTG2	76173	80105	RILP
X	149476988	149521096	IDS
20	1113240	1189415	PSMF1
X	155025980	155060304	FUNDC2
20	1368977	1393164	FKBP1A
10	104235356	104267459	GSTO1
9	124857880	124861981	RPL35
8	98024851	98046469	RPL30
6	41267926	41286682	TREM1
5	32531633	32604079	SUB1
11	32583798	32606264	EIF3M
4	99948086	99950355	H2AZ1
20	58985686	59008238	CTSZ
14	22564907	22589224	DAD1
14	22766522	22773042	OXA1L
X	47582408	47586789	TIMP1
8	96222947	96235546	UQCRB
20	35699272	35700984	ROMO1
19	14380501	14408725	ADGRE5
10	97332497	97334729	FRAT2
2	3575260	3580920	RPS7
22	29767369	29770413	UQCR10
9	127447674	127451406	RPL12
HSCHR19LRC_COX1_CTG3_1	175608	223738	RPS9
5	86617928	86620962	COX7C
HSCHR19LRC_COX1_CTG3_1	479310	493950	LILRA2
3	50226292	50259362	GNAI2
HSCHR19LRC_COX1_CTG3_1	288498	302003	LILRA5
18	49488453	49492508	RPL17
HSCHR19LRC_COX1_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_COX2_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_COX2_CTG3_1	175840	182627	RPS9
HSCHR19LRC_COX2_CTG3_1	288422	294485	LILRA5
20	45252239	45254564	SLPI
HSCHR19LRC_LRC_S_CTG3_1	175840	182627	RPS9
HSCHR19LRC_LRC_S_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_LRC_I_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_LRC_T_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_LRC_I_CTG3_1	175840	182627	RPS9
HSCHR19LRC_LRC_T_CTG3_1	175840	182627	RPS9
19	19192229	19201869	RFXANK
HSCHR19LRC_PGF2_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_LRC_J_CTG3_1	175840	182627	RPS9
HSCHR19LRC_PGF2_CTG3_1	175840	182627	RPS9
HSCHR19LRC_LRC_J_CTG3_1	77273	81393	NDUFA3
HSCHR19LRC_PGF2_CTG3_1	288603	294640	LILRA5
HSCHR19LRC_PGF1_CTG3_1	477804	492444	LILRA2
13	45333471	45341284	TPT1
HSCHR19LRC_PGF1_CTG3_1	175791	223971	RPS9
HSCHR19LRC_PGF1_CTG3_1	77273	81393	NDUFA3
9	36136536	36163913	GLIPR2
19	17267376	17281249	BABAM1
22	23894383	23895227	MIF
9	128160265	128163924	BBLN
11	62559596	62574086	EEF1G
19	19515736	19529054	NDUFA13
HSCHR19_4_CTG3_1	289467	295523	LILRA5
HSCHR19_4_CTG3_1	555501	570141	LILRA2
HSCHR19_5_CTG2	38523	42509	CFD
HSCHR19_4_CTG3_1	77149	83146	NDUFA3
HSCHR19_4_CTG3_1	175724	223976	RPS9
HSCHR1_1_CTG3	106829	116812	TNFRSF14
1	9997206	10016021	RBP7
17	39728496	39730532	MIEN1
16	84565596	84618078	COTL1
HSCHR1_8_CTG3	29753	40550	ATP5IF1
22	37848868	37889407	EIF3L
